Title,Cast,Director,Genre,language,Plot_summary,imdb_URL
Rogue One: A Star Wars Story,"[u'Felicity Jones', u'Mads Mikkelsen', u'Forest Whitaker', u'Alan Tudyk', u'Ben Mendelsohn']",Gareth Edwards,"[u'Action', u'Adventure', u'Sci-Fi']",[u'English'],"[u'Jyn Erso, a Rebellion soldier and criminal, is about to experience her biggest challenge yet when Mon Mothma sets her out on a mission to steal the plans for the Death Star. With help from the Rebels, a master swordsman, and non-allied forces, Jyn will be in for something bigger than she thinks.', u'The Rebellion makes a risky move to steal the plans to the Death Star, setting up the epic saga to follow.']",http://akas.imdb.com/title/tt3748528/
Rogue One: A Star Wars Story,"[u'Dustin Clingan', u'Larry Altmayer', u'Georgina Elizabeth Okon']",Dustin Clingan,"[u'Comedy', u'News', u'Talk-Show']",NA,NA,http://akas.imdb.com/title/tt5704266/
Rogue One: A Star Wars Story,[u'Wayne Parsons'],Wayne Parsons,[u'Comedy'],NA,[u'Wayne shares his reaction to the first Rogue One: A Star Wars Story teaser trailer.'],http://akas.imdb.com/title/tt5638838/
Rogue One: A Star Wars Story (Final Trailer),[u'Wayne Parsons'],Wayne Parsons,[u'Comedy'],NA,[u'Wayne shares his reaction to the final Rogue One: A Star Wars Story trailer.'],http://akas.imdb.com/title/tt6147680/
